iter	Passed	Remaining
0	75	75043
1	100	49969
2	125	41591
3	153	38277
4	181	36087
5	216	35876
6	246	34928
7	274	34060
8	306	33792
9	337	33380
10	379	34152
11	452	37263
12	510	38792
13	580	40868
14	622	40903
15	665	40902
16	708	40960
17	745	40678
18	793	40988
19	851	41723
20	904	42164
21	943	41949
22	981	41672
23	1020	41514
24	1064	41500
25	1109	41561
26	1187	42786
27	1232	42780
28	1277	42771
29	1310	42387
30	1359	42499
31	1442	43644
32	1477	43290
33	1514	43041
34	1564	43135
35	1630	43652
36	1680	43746
37	1737	43984
38	1791	44136
39	1831	43958
40	1871	43768
41	1915	43700
42	1960	43633
43	2010	43677
44	2045	43408
45	2081	43165
46	2127	43130
47	2183	43312
48	2233	43344
49	2275	43242
50	2315	43092
51	2349	42835
52	2386	42634
53	2428	42538
54	2463	42333
55	2508	42286
56	2551	42218
57	2603	42277
58	2653	42316
59	2788	43685
60	2852	43909
61	2904	43948
62	2945	43810
63	2985	43669
64	3034	43647
65	3086	43679
66	3145	43798
67	3197	43818
68	3239	43713
69	3279	43575
70	3329	43562
71	3377	43534
72	3425	43501
73	3480	43548
74	3562	43940
75	3624	44060
76	3717	44559
77	3786	44760
78	3843	44808
79	3910	44975
80	3987	45238
81	4034	45166
82	4080	45081
83	4121	44939
84	4160	44785
85	4201	44657
86	4248	44587
87	4293	44498
88	4328	44302
89	4363	44122
90	4400	43960
91	4440	43824
92	4476	43659
93	4511	43478
94	4546	43315
95	4578	43117
96	4611	42932
97	4651	42815
98	4695	42732
99	4749	42742
100	4815	42864
101	4879	42958
102	4935	42981
103	5012	43184
104	5070	43220
105	5132	43284
106	5199	43392
107	5261	43453
108	5320	43495
109	5371	43463
110	5428	43474
111	5484	43484
112	5547	43548
113	5596	43498
114	5656	43531
115	5711	43522
116	5759	43468
117	5803	43375
118	5851	43323
119	5908	43329
120	5967	43349
121	6029	43389
122	6082	43366
123	6142	43392
124	6220	43544
125	6296	43673
126	6379	43855
127	6453	43964
128	6527	44072
129	6593	44129
130	6669	44242
131	6729	44250
132	6796	44308
133	6861	44342
134	6909	44272
135	6963	44239
136	7031	44291
137	7093	44309
138	7141	44233
139	7184	44130
